date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:40	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:40%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/note.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/note.png	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:41	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:40%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/tip.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/tip.27.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:41	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/_static/images/icons/warning.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/warning.28.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:41	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/Downloads/search.html	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/Downloads/search.29.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:41	6684/6684	---M--	200	added ('OK')	text/css	etag:%228c7938-1a1c-4c2ec2410e500%22	http://tutorialsymfony2.eu5.org/pag1_files/haiku.css	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/haiku.css	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:42	3932/3932	---M--	200	added ('OK')	text/css	etag:%228c793f-f5c-4c2ec24c80000%22	http://tutorialsymfony2.eu5.org/pag1_files/pygments.css	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/pygments.css	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:42	303/303	---M--	200	added ('OK')	text/css	etag:%228c793e-12f-4c2ec24a97b80%22	http://tutorialsymfony2.eu5.org/pag1_files/print.css	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/print.css	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:44	14061/14061	---M--	200	added ('OK')	application/javascript	etag:%228c793d-36ed-4c2ec24a97b80%22	http://tutorialsymfony2.eu5.org/pag1_files/plusone_002.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/plusone_002.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:45	36639/36639	---M--	200	added ('OK')	application/javascript	etag:%228c7937-8f1f-4c2ec2401a2c0%22	http://tutorialsymfony2.eu5.org/pag1_files/ga_002.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/ga_002.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:48	14074/14074	---M--	200	added ('OK')	application/javascript	etag:%228c793c-36fa-4c2ec249a3940%22	http://tutorialsymfony2.eu5.org/pag1_files/plusone.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/plusone.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
11:56:50	36639/36639	---M--	200	added ('OK')	application/javascript	etag:%228c7936-8f1f-4c2ec23f26080%22	http://tutorialsymfony2.eu5.org/pag1_files/ga.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/pag1_files/ga.js	(from http://tutorialsymfony2.eu5.org/pag1.htm)
